account_name,reporting_year,kpi_id,kpi_name,domain,value,formatted_value,unit,confidence_status,calculation_status,source_summary,validation_notes
Rush University Medical Center,2024,total_ep_charges,Mapped EP/CIED Charges,EP Financial,2477679.0,$2.48M,dollars,yellow,calculated_with_caution,Raw_MedicalClaims_CPT; Rush_medicalclaims_procedure_hcpcscpt_breakdown_2025.csv,Current value reflects mapped EP/CIED CPT taxonomy only; not full EP program charges until broader EP CPT taxonomy is added.
Rush University Medical Center,2024,device_implant_revenue,Device Implant Revenue,Device Implant Revenue,1359183.0,$1.36M,dollars,yellow,calculated_with_caution,Raw_MedicalClaims_DRG; Rush_medicalclaims_drg_2025.csv,"DRG-based measure, not pure CPT procedural revenue."
Rush University Medical Center,2024,device_implant_volume,Device Implant Volume,Device Implant Volume,31.0,31,cases/claims,yellow,calculated_with_caution,Raw_MedicalClaims_DRG; Rush_medicalclaims_drg_2025.csv,DRG-based volume measure.
Rush University Medical Center,2024,device_creation_revenue,Device Creation Revenue,Device Creation,1373862.0,$1.37M,dollars,green,calculated,Raw_MedicalClaims_CPT; Rush_medicalclaims_procedure_hcpcscpt_breakdown_2025.csv,Device Creation CPT rows summed from matched taxonomy detail.
Rush University Medical Center,2024,device_lifecycle_revenue,Device Lifecycle Revenue,Device Lifecycle,1049249.0,$1.05M,dollars,green,calculated,Raw_MedicalClaims_CPT; Rush_medicalclaims_procedure_hcpcscpt_breakdown_2025.csv,Device Lifecycle CPT rows summed from matched taxonomy detail.
Rush University Medical Center,2024,lead_management_revenue,Lead Management Revenue,Lead Management,54568.0,"$54,568",dollars,green,calculated,Raw_MedicalClaims_CPT; Rush_medicalclaims_procedure_hcpcscpt_breakdown_2025.csv,Lead Management CPT rows summed from matched taxonomy detail.
Rush University Medical Center,2024,ep_leakage_revenue,EP Leakage Revenue,Leakage,6692759.0,$6.69M,dollars,yellow,calculated_with_caution,Raw_Inpatient_Leakage; Rush_Inpatient_Leakage.csv,Inpatient DRG-based leakage only; broad outpatient leakage excluded without EP category taxonomy.
Rush University Medical Center,2024,net_referral_balance,Net Referral Balance,Referrals,263.0,263,referrals,green,calculated,Raw_Referrals_From; Raw_Referrals_To,"Incoming, outgoing, and net referral detail rows created."
Rush University Medical Center,2024,geographic_catchment,Geographic Catchment,Geography,10458.0,"10,458",cases,green,calculated,Raw_ZIP_Origination,Calculated as total cases represented by top 25 ZIPs.
Rush University Medical Center,2024,ep_market_share,EP Market Share,Market Position,44.34782608695652,44.3%,percent,yellow,calculated_with_caution,Raw_Inpatient_MarketShare,EP Market Share calculated from confirmed claims numerator/denominator aggregation.
Rush University Medical Center,2024,market_rank,Market Rank,Market Position,,Not calculated,rank,yellow,not_calculated,Raw_Inpatient_MarketShare,Market rank requires competitor-level market share rows and ranking logic; not calculated in Phase 7A.
Rush University Medical Center,2024,dpci,DPCI,Data Completeness,2423111.0,$2.42M,dollars,green,calculated,Raw_MedicalClaims_CPT; Rush_medicalclaims_procedure_hcpcscpt_breakdown_2025.csv,Claims-based proxy for future device/lead-management burden.
